brand,name,size_ml,price_krw,detail_url,description,부향률,메인 어코드,탑 노트,미들 노트,베이스 노트,향 설명,image_url,parse_path,fail_reason
크리드,어벤투스 오 드 퍼퓸,50ml,255000.0,https://www.bysuco.com/product/show/9370,"[부향률] \n- 오 드 퍼퓸\n\n[메인 어코드]\n- 프루티 / 스위트 / 레더\n\n[메인 노트]\n- 탑 노트: 베르가못, 블랙 커런트, 애플, 레몬, 핑크 페퍼\n- 미들 노트: 파인애플, 패출리, 모로칸 자스민\n- 베이스 노트: 자작나무, 머스크, 오크 모스, 암브록산, 시더우드\n\n[향 설명]\n- 용기와 힘, 비전, 그리고 성공을 기원하는 고급진 향\n\n*일부 상품에 한하여 신규로 리뉴얼 된 디자인의 제품이 발송될 수 있습니다.\n이로 인한 교환/반품은 어려운 점 참고 부탁드립니다.",오 드 퍼퓸,"프루티, 스위트, 레더","베르가못, 블랙 커런트, 애플, 레몬, 핑크 페퍼","파인애플, 패출리, 모로칸 자스민","자작나무, 머스크, 오크 모스, 암브록산, 시더우드","용기와 힘, 비전, 그리고 성공을 기원하는 고급진 향",https://cf.bysuco.net/25aa36916334ba38fde137e024b1727f_cvt.webp,detail:meta_og:image,
크리드,어벤투스 오 드 퍼퓸,100ml,399220.0,https://www.bysuco.com/product/show/9370,"[부향률] \n- 오 드 퍼퓸\n\n[메인 어코드]\n- 프루티 / 스위트 / 레더\n\n[메인 노트]\n- 탑 노트: 베르가못, 블랙 커런트, 애플, 레몬, 핑크 페퍼\n- 미들 노트: 파인애플, 패출리, 모로칸 자스민\n- 베이스 노트: 자작나무, 머스크, 오크 모스, 암브록산, 시더우드\n\n[향 설명]\n- 용기와 힘, 비전, 그리고 성공을 기원하는 고급진 향\n\n*일부 상품에 한하여 신규로 리뉴얼 된 디자인의 제품이 발송될 수 있습니다.\n이로 인한 교환/반품은 어려운 점 참고 부탁드립니다.",오 드 퍼퓸,"프루티, 스위트, 레더","베르가못, 블랙 커런트, 애플, 레몬, 핑크 페퍼","파인애플, 패출리, 모로칸 자스민","자작나무, 머스크, 오크 모스, 암브록산, 시더우드","용기와 힘, 비전, 그리고 성공을 기원하는 고급진 향",https://cf.bysuco.net/25aa36916334ba38fde137e024b1727f_cvt.webp,detail:meta_og:image,
톰 포드,오드 우드 오 드 퍼퓸,30ml,179000.0,https://www.bysuco.com/product/show/10716,"[부향률] \n- 오 드 퍼퓸\n\n[메인 어코드]\n- 우디 / 오우드 / 웜 스파이시\n\n[메인 노트]\n- 싱글 노트: 아가우드, 브라질리안 로즈우드, 샌달우드, 카다멈, 바닐라, 사천 페퍼, 베티버, 통카 빈, 앰버\n\n[향 설명]\n- 청량한 소나무 계열의 향과 부드러운 침구가 부드럽게 감싸주는 듯한 향",오 드 퍼퓸,"우디, 오우드, 웜 스파이시",,,,청량한 소나무 계열의 향과 부드러운 침구가 부드럽게 감싸주는 듯한 향,https://cf.bysuco.net/b26c9b393726d01fd533ef5cabcc632f_cvt.webp,detail:meta_og:image,
톰 포드,오드 우드 오 드 퍼퓸,50ml,249000.0,https://www.bysuco.com/product/show/10716,"[부향률] \n- 오 드 퍼퓸\n\n[메인 어코드]\n- 우디 / 오우드 / 웜 스파이시\n\n[메인 노트]\n- 싱글 노트: 아가우드, 브라질리안 로즈우드, 샌달우드, 카다멈, 바닐라, 사천 페퍼, 베티버, 통카 빈, 앰버\n\n[향 설명]\n- 청량한 소나무 계열의 향과 부드러운 침구가 부드럽게 감싸주는 듯한 향",오 드 퍼퓸,"우디, 오우드, 웜 스파이시",,,,청량한 소나무 계열의 향과 부드러운 침구가 부드럽게 감싸주는 듯한 향,https://cf.bysuco.net/b26c9b393726d01fd533ef5cabcc632f_cvt.webp,detail:meta_og:image,
이솝,테싯 오 드 퍼퓸,50ml,135000.0,https://www.bysuco.com/product/show/9970,"[부향률] \n- 오 드 퍼퓸\n\n[메인 어코드]\n- 시트러스 / 아로마틱 / 프레쉬 스파이시\n\n[메인 노트]\n- 탑 노트: 유자, 시트러스\n- 미들 노트: 바질\n- 베이스 노트: 베티버, 클로브\n\n[향 설명]\n- 이솝의 시그니처 향기로 따뜻하고 생기넘치며 마음을 릴렉싱 시켜주는 향",오 드 퍼퓸,"시트러스, 아로마틱, 프레쉬 스파이시","유자, 시트러스",바질,"베티버, 클로브",이솝의 시그니처 향기로 따뜻하고 생기넘치며 마음을 릴렉싱 시켜주는 향,https://cf.bysuco.net/fb3db1f776b96fd2bd74015405501147.jpg,detail:meta_og:image,
크리드,실버 마운틴 워터 오 드 퍼퓸,50ml,229000.0,https://www.bysuco.com/product/show/9368,"[부향률] \n- 오 드 퍼퓸\n\n[메인 어코드]\n- 시트러스 / 그린 / 프루티\n\n[메인 노트]\n- 탑 노트: 베르가못, 만다린 오렌지\n- 미들 노트: 그린티, 블랙 커런트\n- 베이스 노트: 머스크, 페티그레인, 샌달우드, 갈바넘\n\n[향 설명]\n- 감귤에서 느낄 수 있는 시트러스 계열과 우디 계열의 자연스러운 조합으로 산속 깨끗한 물줄기같이 청량하고 상쾌한 향\n\n*일부 상품에 한하여 신규로 리뉴얼 된 디자인의 제품이 발송될 수 있습니다.\n이로 인한 교환/반품은 어려운 점 참고 부탁드립니다.",오 드 퍼퓸,"시트러스, 그린, 프루티","베르가못, 만다린 오렌지","그린티, 블랙 커런트","머스크, 페티그레인, 샌달우드, 갈바넘",감귤에서 느낄 수 있는 시트러스 계열과 우디 계열의 자연스러운 조합으로 산속 깨끗한 물줄기같이 청량하고 상쾌한 향,https://cf.bysuco.net/accec9fa9c250533933837c2c1d19e95.jpg,detail:meta_og:image,
크리드,실버 마운틴 워터 오 드 퍼퓸,100ml,340220.0,https://www.bysuco.com/product/show/9368,"[부향률] \n- 오 드 퍼퓸\n\n[메인 어코드]\n- 시트러스 / 그린 / 프루티\n\n[메인 노트]\n- 탑 노트: 베르가못, 만다린 오렌지\n- 미들 노트: 그린티, 블랙 커런트\n- 베이스 노트: 머스크, 페티그레인, 샌달우드, 갈바넘\n\n[향 설명]\n- 감귤에서 느낄 수 있는 시트러스 계열과 우디 계열의 자연스러운 조합으로 산속 깨끗한 물줄기같이 청량하고 상쾌한 향\n\n*일부 상품에 한하여 신규로 리뉴얼 된 디자인의 제품이 발송될 수 있습니다.\n이로 인한 교환/반품은 어려운 점 참고 부탁드립니다.",오 드 퍼퓸,"시트러스, 그린, 프루티","베르가못, 만다린 오렌지","그린티, 블랙 커런트","머스크, 페티그레인, 샌달우드, 갈바넘",감귤에서 느낄 수 있는 시트러스 계열과 우디 계열의 자연스러운 조합으로 산속 깨끗한 물줄기같이 청량하고 상쾌한 향,https://cf.bysuco.net/accec9fa9c250533933837c2c1d19e95.jpg,detail:meta_og:image,
킬리안,문라이트 인 헤븐 오 드 퍼퓸,50ml,249000.0,https://www.bysuco.com/product/show/10520,"[부향률] \n- 오 드 퍼퓸\n\n[메인 어코드]\n- 스위트 / 시트러스 / 트로피칼\n\n[메인 노트]\n- 탑 노트 : 자몽, 핑크페퍼, 레몬\n- 미들 노트: 망고, 코코넛, 쌀\n- 베이스 노트 : 베티버, 통카빈\n\n[향 설명]\n- 이국적인 매력과 자연스러움이 돋보이는 향",오 드 퍼퓸,"스위트, 시트러스, 트로피칼","자몽, 핑크페퍼, 레몬","망고, 코코넛, 쌀","베티버, 통카빈",이국적인 매력과 자연스러움이 돋보이는 향,https://cf.bysuco.net/5eededc3a84f20475901cdb07985f77c_cvt.webp,detail:meta_og:image,
딥티크,오 데 썽 오 드 뚜왈렛,50ml,130000.0,https://www.bysuco.com/product/show/21314,"[부향률] \n- 오 드 뚜왈렛\n\n[메인 어코드]\n- 시트러스 / 플로랄 / 우디\n\n[메인 노트]\n- 탑 노트: 오렌지 블라썸, 비터 오렌지\n- 미들 노트: 주니퍼 베리\n- 베이스 노트: 안젤리카, 페출리\n\n[향 설명]\n- 감각의 물 또는 에센스의 물로 해석되는 향",오 드 뚜왈렛,"시트러스, 플로랄, 우디","오렌지 블라썸, 비터 오렌지",주니퍼 베리,"안젤리카, 페출리",감각의 물 또는 에센스의 물로 해석되는 향,https://cf.bysuco.net/1feebb4d88474e51759d4f8f4e71b603.jpg,detail:meta_og:image,
딥티크,오 데 썽 오 드 뚜왈렛,100ml,205700.0,https://www.bysuco.com/product/show/21314,"[부향률] \n- 오 드 뚜왈렛\n\n[메인 어코드]\n- 시트러스 / 플로랄 / 우디\n\n[메인 노트]\n- 탑 노트: 오렌지 블라썸, 비터 오렌지\n- 미들 노트: 주니퍼 베리\n- 베이스 노트: 안젤리카, 페출리\n\n[향 설명]\n- 감각의 물 또는 에센스의 물로 해석되는 향",오 드 뚜왈렛,"시트러스, 플로랄, 우디","오렌지 블라썸, 비터 오렌지",주니퍼 베리,"안젤리카, 페출리",감각의 물 또는 에센스의 물로 해석되는 향,https://cf.bysuco.net/1feebb4d88474e51759d4f8f4e71b603.jpg,detail:meta_og:image,
아쿠아 디 파르마,미르토 디 파나레아 오 드 뚜왈렛,30ml,62000.0,https://www.bysuco.com/product/show/9275,"[부향률] \n- 오 드 뚜왈렛\n\n[메인 어코드]\n- 아로마틱 / 시트러스 / 프레쉬 스파이시\n\n[메인 노트]\n- 탑 노트: 머틀, 레몬, 베르가못, 바질\n- 미들 노트: 씨 노트, 자스민, 로즈\n- 베이스 노트: 주니퍼, 시더, 앰버\n\n[향 설명]\n- 상큼한 과일의 향과 바다의 향을 담아 시원하면서도 쾌할한 이미지 연출",오 드 뚜왈렛,"아로마틱, 시트러스, 프레쉬 스파이시","머틀, 레몬, 베르가못, 바질","씨 노트, 자스민, 로즈","주니퍼, 시더, 앰버",상큼한 과일의 향과 바다의 향을 담아 시원하면서도 쾌할한 이미지 연출,https://cf.bysuco.net/8f26b010bf531a909f76335bcc95680c.jpg,detail:meta_og:image,
딥티크,플레르 드 뽀 오 드 퍼퓸,75ml,231660.0,https://www.bysuco.com/product/show/10155,"[부향률] \n- 오 드 퍼퓸\n\n[메인 어코드]\n- 머스크 / 파우더리 / 아이리스\n\n[메인 노트]\n- 탑 노트: 알데하이드, 핑크 페퍼, 앤젤리카, 베르가못\n- 미들 노트: 아이리스, 터키쉬 장미\n- 베이스 노트: 머스크, 암브레트, 당근, 앰버그리스, 샌달우드, 레더, 앰버우드\n\n[향 설명]\n- 달콤한 숨소리로 로맨틱한 포옹을 하는 듯한 관능적인 체취를 느낄 수 있는 향",오 드 퍼퓸,"머스크, 파우더리, 아이리스","알데하이드, 핑크 페퍼, 앤젤리카, 베르가못","아이리스, 터키쉬 장미","머스크, 암브레트, 당근, 앰버그리스, 샌달우드, 레더, 앰버우드",달콤한 숨소리로 로맨틱한 포옹을 하는 듯한 관능적인 체취를 느낄 수 있는 향,https://cf.bysuco.net/674f1342fa588659762bd7e538e87297_cvt.webp,detail:meta_og:image,
