brand,name,detail_url,concentration,main_accords,top_notes,middle_notes,base_notes,description,notes_score,season_score,day_night_score,gender,sizes
겔랑,랭스땅 드 겔랑 오 드 퍼퓸,https://www.bysuco.com/product/show/22689,오 드 퍼퓸,플로랄 허니 스위트,오렌지 허니 베르가못 만다린 오렌지,일랑일랑 매그놀리아 자스민,앰버 샌달우드,강렬한 매혹의 향기.,rose(100.0) / oud(97.2) / woody(67.1) / floral(65.6) / herbal(59.2) / fresh spicy(50.7) / leather(46.5) / green(46.0),winter(14.2) / spring(24.1) / summer(3.8) / fall(95.5),day(47.1) / night(25.9),Female,[75]
겔랑,레전더리 미츠코 오 드 퍼퓸,https://www.bysuco.com/product/show/140974,오 드 퍼퓸,얼디 웜 스파이시 아로마틱,베르가못,피치 5월의 장미 자스민,스파이스 루트 베티버,이루어질 수 없는 사랑의 전설 스파이시한 복숭아와 페출리의 비밀스러운 만남,woody(100.0) / warm spicy(94.6) / white floral(83.8) / earthy(83.8) / rose(83.8) / patchouli(83.8) / aromatic(67.7) / fruity(67.7) / floral(56.9) / sweet(46.2),winter(0) / spring(0) / summer(0) / fall(0),day(0) / night(0),Female,[75]
겔랑,레전더리 삼사라 오 드 뚜왈렛,https://www.bysuco.com/product/show/140972,오 드 뚜왈렛,우디 파우더리 옐로우 플로랄,시트러스,일랑일랑 자스민,샌달우드 아이리스 바닐라 통가 빈,자스민과 샌달우드의 조화로 이루어진 신성한 사랑의 향기,warm spicy(100.0) / woody(90.1) / sweet(82.1) / vanilla(70.0) / patchouli(69.7) / rum(69.7) / amber(66.8) / caramel(65.4) / cinnamon(64.7) / balsamic(61.0),winter(14.1) / spring(8.6) / summer(6.3) / fall(100.0),day(35.2) / night(12.1),Female,[75]
겔랑,몽 겔랑 스파클링 부케 오 드 퍼퓸,https://www.bysuco.com/product/show/140968,오 드 퍼퓸,시트러스 플로랄 프레쉬,페어 베르가못 만다린 오렌지,라벤더 피오니 자스민 삼박,타히티안 바닐라 화이트 머스크 샌달 우드,기분 좋은 프루티 앰버 향,citrus(100.0) / floral(94.2) / fresh(84.9) / lavender(82.8) / fruity(72.9) / sweet(70.5) / powdery(68.4) / fresh spicy(66.9) / vanilla(66.5) / aromatic(65.5),winter(42.8) / spring(32.0) / summer(2.9) / fall(21.3),day(100.0) / night(71.5),Female,"[50, 100]"
겔랑,몽 겔랑 오 드 퍼퓸,https://www.bysuco.com/product/show/22686,오 드 퍼퓸,바닐라 라벤더 우디,라벤더 베르가못,아이리스 자스민 삼박 로즈,타이티안 바닐라 쿠마린 호주산 샌달우드 리코리스 벤조인 페출리,보이지 않는 나만의 문신 같은 나의 향기,vanilla(100.0) / lavender(71.5) / woody(70.3) / aromatic(67.8) / powdery(64.7) / balsamic(59.7) / sweet(59.0) / warm spicy(54.2) / fresh spicy(48.9) / iris(48.1),winter(16.7) / spring(28.4) / summer(2.8) / fall(81.8),day(86.4) / night(39.7),Female,"[30, 50, 100]"
겔랑,몽 겔랑 오 드 퍼퓸 인텐스,https://www.bysuco.com/product/show/140963,오 드 퍼퓸,바닐라 우디 라벤더,라벤더 만다린 오렌지 베르가못,타히티안 바닐라 마다가스카르 바닐라 아이리스 로즈 자스민 삼박,쿠마린 페출리 리코리쉬 벤조인 오스트레일리아 샌달우드 화이트 머스크,독특하고 감각적인 우디 앰버,lavender(100.0) / aromatic(81.3) / vanilla(77.8) / citrus(77.8) / powdery(76.7) / sweet(64.3) / fresh spicy(62.7) / woody(59.2) / floral(54.5) / iris(53.3),winter(0.0) / spring(0.0) / summer(12.5) / fall(100.0),day(100.0) / night(44.4),Female,"[30, 50, 100]"
겔랑,샹젤리제 오 드 뚜왈렛,https://www.bysuco.com/product/show/140977,오 드 뚜왈렛,플로랄 옐로우 플로랄 우디,미모사 잎 로즈 페탈,미모사 부들레아 블랙 커런트,아몬드 트리 우디 노트 히비스커스 씨앗 바닐라,빛의 도시에서 만난 향기,floral(100.0) / rose(99.3) / citrus(77.9) / fresh(72.9) / fruity(62.9) / powdery(53.7) / musky(51.5) / sweet(45.5),winter(19.7) / spring(9.3) / summer(0.5) / fall(16.9),day(100.0) / night(77.8),Female,[75]
겔랑,샹젤리제 오 드 퍼퓸,https://www.bysuco.com/product/show/22688,오 드 퍼퓸,플로랄 옐로우 플로랄 우디,미모사 리프 로즈 페탈,미모사 부들레아 카시스,아몬드 트리 우디 노트 바닐라 히비스커스 씨드,빛의 도시에서 만난 향기,floral(100.0) / yellow floral(72.9) / powdery(61.1) / woody(59.8) / green(58.6) / sweet(46.0),winter(43.8) / spring(23.3) / summer(7.5) / fall(31.1),day(100.0) / night(67.7),Female,[75]
겔랑,아쿠아 알레고리아 그라나다 살비아 오 드 뚜왈렛,https://www.bysuco.com/product/show/22697,오 드 뚜왈렛,우디 아로마틱 프루티,블랙 커런트 레몬 베르가못,석류 세이지 로즈 시프레,화이트 머스크 모스 페출리,블랙커런트 사이프러스 레몬 베르가못 노트의 신선함이 느껴지는 감미로운 석류 어코드와 화이트 머스크 모스 패츌리 위에 펼쳐지는 우아한 세이지와 장미향이 조화롭게 어우러집니다.,woody(100.0) / aromatic(88.3) / fruity(85.2) / citrus(82.2) / fresh spicy(70.3) / soft spicy(56.5) / herbal(52.0) / musky(51.9) / rose(48.3) / floral(47.5),winter(25.9) / spring(16.5) / summer(1.6) / fall(12.4),day(83.2) / night(100.0),Unisex,[75]
겔랑,아쿠아 알레고리아 로사 로싸 오 드 뚜왈렛,https://www.bysuco.com/product/show/22699,오 드 뚜왈렛,로즈 플로랄 프루티,리치 블랙 커런트 베르가못 레몬,로즈 피오니,화이트 머스크 이소이수퍼 시더 샌달우드,부드럽고 머스키한 샌달우드 속에서 수줍게 피어나는 장미 향에 블랙 커런트와 리치의 프루티 노트가 더해지며 화사하고 싱그러운 매력을 더합니다.,green(100.0) / aquatic(87.3) / ozonic(86.0) / rose(84.3) / aromatic(67.8) / fresh spicy(66.4) / citrus(65.7) / powdery(61.2) / floral(57.2) / musky(51.6),winter(62.1) / spring(46.0) / summer(11.2) / fall(2.0),day(84.0) / night(100.0),Female,[75]
