perfume_name,notes_score,season_score,day_night_score
Aventus,fruity(100.0) / sweet(68.4) / woody(66.0) / leather(64.0) / smoky(57.2) / citrus(57.1) / musky(54.4) / tropical(52.2) / fresh(52.0) / mossy(46.5),winter(11.2) / spring(11.3) / summer(3.5) / fall(43.7),day(97.5) / night(99.3)
Eau Wood,warm spicy(100.0) / woody(92.4) / vanilla(76.1) / aromatic(67.4) / powdery(64.9) / balsamic(51.2) / oud(50.8) / patchouli(48.0) / sweet(44.7),winter(14.0) / spring(6.5) / summer(31.8) / fall(97.7),day(70.5) / night(30.1)
Tecit,citrus(100.0) / aromatic(93.7) / fresh spicy(91.7) / green(80.8) / woody(61.5) / earthy(57.0) / fresh(54.3) / warm spicy(49.3) / herbal(47.5),winter(28.1) / spring(10.5) / summer(3.1) / fall(19.7),day(93.4) / night(100.0)
Silver Mountain Water,citrus(100.0) / green(96.2) / fruity(74.8) / musky(70.4) / woody(69.3) / aromatic(65.7) / powdery(64.1) / fresh spicy(61.2) / fresh(46.1) / floral(45.3),winter(18.5) / spring(19.1) / summer(3.1) / fall(21.2),day(97.6) / night(96.8)
Moonlight in Heaven,citrus(100.0) / sweet(97.9) / tropical(86.7) / aromatic(77.5) / coconut(68.3) / fruity(67.9) / woody(60.1) / vanilla(58.5) / lactonic(56.8) / earthy(53.0),winter(35.1) / spring(23.8) / summer(5.2) / fall(18.5),day(79.2) / night(100.0)
Eau des Sens,citrus(100.0) / white floral(84.9) / musky(54.4) / woody(53.4) / aromatic(52.2) / fresh spicy(49.8) / amber(49.5) / patchouli(47.0) / sweet(46.5) / powdery(44.7),winter(30.3) / spring(29.5) / summer(6.8) / fall(16.2),day(95.5) / night(100.0)
Mirto di Panarea,aromatic(100.0) / fresh spicy(66.2) / herbal(59.8) / woody(59.4) / citrus(56.4) / amber(54.7) / patchouli(48.9) / warm spicy(46.2) / balsamic(46.1) / lavender(45.1),winter(33.3) / spring(12.5) / summer(8.3) / fall(12.9),day(83.9) / night(100.0)
Fleur de Peau,musky(100.0) / powdery(91.6) / iris(64.2) / aldehydic(57.2) / soft spicy(53.1) / amber(52.8) / floral(51.1) / woody(51.0) / fresh(49.5) / earthy(47.6),winter(28.3) / spring(18.0) / summer(4.7) / fall(78.2),day(95.9) / night(62.8)
Angel's Share,woody(100.0) / warm spicy(99.5) / sweet(91.1) / vanilla(82.0) / cinnamon(78.1) / amber(51.2) / powdery(48.2),winter(13.1) / spring(7.8) / summer(3.8) / fall(100.0),day(20.6) / night(11.9)
Blanche,fresh(100.0) / aldehydic(95.8) / musky(77.1) / powdery(76.3) / floral(74.9) / rose(64.8) / violet(57.5) / woody(55.9) / soapy(54.5) / white floral(49.0),winter(43.9) / spring(48.2) / summer(8.2) / fall(36.8),day(94.1) / night(83.3)
Another 13,musky(100.0) / amber(81.4) / woody(65.8) / animalic(50.4) / fruity(46.8) / floral(44.8) / powdery(44.5),winter(27.1) / spring(20.6) / summer(7.9) / fall(70.0),day(96.7) / night(84.7)
Lazy Sunday Morning,musky(100.0) / fresh(87.3) / white floral(80.6) / aldehydic(77.9) / rose(74.3) / powdery(72.5) / floral(60.1) / soapy(55.2) / iris(53.0) / sweet(49.8),winter(42.1) / spring(28.8) / summer(5.6) / fall(25.3),day(97.1) / night(78.6)
Pico d'Amalfi,citrus(100.0) / aromatic(87.2) / woody(83.8) / green(60.4) / fresh(53.7) / lavender(49.8) / powdery(45.6) / conifer(45.5),winter(23.1) / spring(18.5) / summer(1.4) / fall(14.1),day(84.9) / night(98.7)
Portrait of a Lady,warm spicy(100.0) / amber(83.5) / rose(80.5) / woody(73.4) / patchouli(64.6) / balsamic(62.5) / fruity(61.3) / smoky(56.7) / floral(47.6) / powdery(45.3),winter(17.0) / spring(25.2) / summer(6.3) / fall(97.8),day(51.3) / night(25.4)
Black Orchid,warm spicy(100.0) / earthy(84.8) / woody(83.9) / sweet(75.9) / amber(66.7) / patchouli(64.1) / floral(62.3) / chocolate(61.9) / balsamic(58.9) / powdery(58.8),winter(12.6) / spring(40.3) / summer(9.9) / fall(97.3),day(24.6) / night(14.4)
Black Orchid,warm spicy(100.0) / earthy(84.8) / woody(83.9) / sweet(75.9) / amber(66.7) / patchouli(64.1) / floral(62.3) / chocolate(61.9) / balsamic(58.9) / powdery(58.8),winter(12.6) / spring(40.3) / summer(9.9) / fall(97.3),day(24.6) / night(14.4)
Orpheon,powdery(100.0) / woody(96.1) / aromatic(93.2) / fresh spicy(67.4) / white floral(63.0),winter(21.8) / spring(9.6) / summer(2.3) / fall(76.3),day(89.8) / night(56.9)
Neroli Portofino,citrus(100.0) / white floral(71.6) / aromatic(52.2) / fresh spicy(51.9) / floral(40.8),winter(24.3) / spring(36.7) / summer(5.2) / fall(6.0),day(61.6) / night(100.0)
Bamboo Harmony,citrus(100.0) / green(93.4) / fresh(76.9) / woody(72.1) / fresh spicy(67.2) / aromatic(55.4) / floral(46.8) / earthy(45.0) / yellow floral(44.1),winter(29.4) / spring(25.0) / summer(4.0) / fall(8.7),day(93.0) / night(100.0)
